t 1 2 3 jV1 jL1 jL2 
0.00265 -8.09017 -4.35148 -4.35148 0.00373869 -0.00373869 0.00435148
0.00266 -8.44328 -4.5057 -4.5057 0.00393758 -0.00393758 0.0045057
0.00267 -8.76307 -4.64254 -4.64254 0.00412052 -0.00412052 0.00464254
0.00268 -9.04827 -4.76148 -4.76148 0.00428679 -0.00428679 0.00476148
0.00269 -9.29776 -4.86204 -4.86204 0.00443573 -0.00443573 0.00486204
0.0027 -9.51057 -4.94382 -4.94382 0.00456675 -0.00456675 0.00494382
0.00271 -9.68583 -5.00649 -5.00649 0.00467934 -0.00467934 0.00500649
0.00272 -9.82287 -5.04981 -5.04981 0.00477306 -0.00477306 0.00504981
0.00273 -9.92115 -5.0736 -5.0736 0.00484755 -0.00484755 0.0050736
0.00274 -9.98027 -5.07777 -5.07777 0.0049025 -0.0049025 0.00507777
0.00275 -10 -5.0623 -5.0623 0.0049377 -0.0049377 0.0050623
0.00276 -9.98027 -5.02725 -5.02725 0.00495302 -0.00495302 0.00502725
0.00277 -9.92115 -4.97275 -4.97275 0.0049484 -0.0049484 0.00497275
0.00278 -9.82287 -4.89902 -4.89902 0.00492385 -0.00492385 0.00489902
0.00279 -9.68583 -4.80635 -4.80635 0.00487949 -0.00487949 0.00480635
0.0028 -9.51057 -4.69509 -4.69509 0.00481547 -0.00481547 0.00469509
0.00281 -9.29776 -4.5657 -4.5657 0.00473207 -0.00473207 0.0045657
0.00282 -9.04827 -4.41867 -4.41867 0.0046296 -0.0046296 0.00441867
0.00283 -8.76307 -4.25458 -4.25458 0.00450849 -0.00450849 0.00425458
0.00284 -8.44328 -4.07409 -4.07409 0.00436919 -0.00436919 0.00407409
0.00285 -8.09017 -3.87789 -3.87789 0.00421228 -0.00421228 0.00387789
0.00286 -7.70513 -3.66677 -3.66677 0.00403836 -0.00403836 0.00366677
0.00287 -7.28969 -3.44155 -3.44155 0.00384813 -0.00384813 0.00344155
0.00288 -6.84547 -3.20313 -3.20313 0.00364234 -0.00364234 0.00320313
0.00289 -6.37424 -2.95243 -2.95243 0.00342181 -0.00342181 0.00295243
0.0029 -5.87785 -2.69046 -2.69046 0.00318739 -0.00318739 0.00269046
0.00291 -5.35827 -2.41823 -2.41823 0.00294004 -0.00294004 0.00241823
0.00292 -4.81754 -2.13683 -2.13683 0.00268071 -0.00268071 0.00213683
0.00293 -4.25779 -1.84735 -1.84735 0.00241044 -0.00241044 0.00184735
0.00294 -3.68125 -1.55095 -1.55095 0.00213029 -0.00213029 0.00155095
0.00295 -3.09017 -1.24879 -1.24879 0.00184138 -0.00184138 0.00124879
0.00296 -2.4869 -0.942061 -0.942061 0.00154484 -0.00154484 0.000942061
0.00297 -1.87381 -0.63197 -0.63197 0.00124184 -0.00124184 0.00063197
0.00298 -1.25333 -0.31974 -0.31974 0.000933592 -0.000933592 0.00031974
0.00299 -0.627905 -0.00660212 -0.00660212 0.000621303 -0.000621303 6.60212e-06
0.003 -2.38767e-12 0.30621 0.30621 0.00030621 -0.00030621 -0.00030621
0.00301 0.627905 0.617464 0.617464 -1.04414e-05 1.04414e-05 -0.000617464
0.00302 1.25333 0.925932 0.925932 -0.0003274 0.0003274 -0.000925932
0.00303 1.87381 1.2304 1.2304 -0.000643413 0.000643413 -0.0012304
0.00304 2.4869 1.52967 1.52967 -0.000957232 0.000957232 -0.00152967
0.00305 3.09017 1.82255 1.82255 -0.00126762 0.00126762 -0.00182255
0.00306 3.68125 2.10791 2.10791 -0.00157334 0.00157334 -0.00210791
0.00307 4.25779 2.3846 2.3846 -0.00187319 0.00187319 -0.0023846
0.00308 4.81754 2.65154 2.65154 -0.00216599 0.00216599 -0.00265154
0.00309 5.35827 2.90769 2.90769 -0.00245058 0.00245058 -0.00290769
0.0031 5.87785 3.15202 3.15202 -0.00272583 0.00272583 -0.00315202
0.00311 6.37424 3.38358 3.38358 -0.00299066 0.00299066 -0.00338358
0.00312 6.84547 3.60146 3.60146 -0.00324401 0.00324401 -0.00360146
0.00313 7.28969 3.80479 3.80479 -0.00348489 0.00348489 -0.00380479
0.00314 7.70513 3.99278 3.99278 -0.00371235 0.00371235 -0.00399278
0.00315 8.09017 4.16469 4.16469 -0.00392548 0.00392548 -0.00416469
0.00316 8.44328 4.31983 4.31983 -0.00412345 0.00412345 -0.00431983
0.00317 8.76307 4.4576 4.4576 -0.00430546 0.00430546 -0.0044576
0.00318 9.04827 4.57746 4.57746 -0.00447081 0.00447081 -0.00457746
0.00319 9.29776 4.67894 4.67894 -0.00461883 0.00461883 -0.00467894
0.0032 9.51057 4.76162 4.76162 -0.00474894 0.00474894 -0.00476162
0.00321 9.68583 4.82521 4.82521 -0.00486063 0.00486063 -0.00482521
0.00322 9.82287 4.86943 4.86943 -0.00495344 0.00495344 -0.00486943
0.00323 9.92115 4.89412 4.89412 -0.00502703 0.00502703 -0.00489412
0.00324 9.98027 4.89918 4.89918 -0.00508108 0.00508108 -0.00489918
0.00325 10 4.8846 4.8846 -0.0051154 0.0051154 -0.0048846
0.00326 9.98027 4.85044 4.85044 -0.00512983 0.00512983 -0.00485044
0.00327 9.92115 4.79682 4.79682 -0.00512433 0.00512433 -0.00479682
0.00328 9.82287 4.72396 4.72396 -0.00509891 0.00509891 -0.00472396
0.00329 9.68583 4.63216 4.63216 -0.00505367 0.00505367 -0.00463216
0.0033 9.51057 4.52178 4.52178 -0.00498879 0.00498879 -0.00452178
0.00331 9.29776 4.39324 4.39324 -0.00490452 0.00490452 -0.00439324
0.00332 9.04827 4.24707 4.24707 -0.0048012 0.0048012 -0.00424707
0.00333 8.76307 4.08384 4.08384 -0.00467922 0.00467922 -0.00408384
0.00334 8.44328 3.9042 3.9042 -0.00453908 0.00453908 -0.0039042
0.00335 8.09017 3.70885 3.70885 -0.00438132 0.00438132 -0.00370885
0.00336 7.70513 3.49857 3.49857 -0.00420656 0.00420656 -0.00349857
0.00337 7.28969 3.27419 3.27419 -0.00401549 0.00401549 -0.00327419
0.00338 6.84547 3.0366 3.0366 -0.00380887 0.00380887 -0.0030366
