t 1 2 3 4 5 6 jO0300 jO0600 jV0200 
2.48e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.49e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.5e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.51e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.52e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.53e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.54e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.55e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.56e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.57e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.58e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.59e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.6e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.61e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.62e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.63e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.64e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.65e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.66e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.67e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.68e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.69e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.7e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.71e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.72e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.73e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.74e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.75e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.76e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.77e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.78e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.79e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.8e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.81e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.82e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.83e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.84e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.85e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.86e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.87e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.88e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.89e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.9e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.91e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.92e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.93e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.94e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.95e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.96e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.97e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.98e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
2.99e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.01e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.02e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.03e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.04e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.05e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.06e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
3.07e-006 0 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5 
