t 1 2 3 jL1 jL2 jV0300 
3.78e-06 3962.92 -15581.2 10000 -41.775 -61.1664 41.775
3.79e-06 4002.05 -14592.3 10000 -36.9554 -62.3236 36.9554
3.8e-06 4036.36 -13585.4 10000 -32.1447 -63.4179 32.1447
3.81e-06 4065.86 -12561.5 10000 -27.3487 -64.4481 27.3487
3.82e-06 4090.58 -11521.8 10000 -22.5729 -65.4129 22.5729
3.83e-06 4110.54 -10467.2 10000 -17.8232 -66.3109 17.8232
3.84e-06 4125.77 -9398.83 10000 -13.105 -67.1412 13.105
3.85e-06 4136.29 -8317.78 10000 -8.4239 -67.9025 8.4239
3.86e-06 4142.16 -7225.16 10000 -3.78522 -68.594 3.78522
3.87e-06 4143.42 -6122.1 10000 0.805709 -69.2147 -0.805709
3.88e-06 4140.11 -5009.74 10000 5.3437 -69.7637 -5.3437
3.89e-06 4132.3 -3889.23 10000 9.82366 -70.2403 -9.82366
