t 1 2 3 4 5 6 7 jL1 8 jL2 9 jE11 jO1 jV1 
3.6 0.443589 1.33077 1.86624 0.900551 1.29998 0.443589 0 0 0 0 0.330766 2.18266 -2.59995 2.15637 
3.62 0.460532 1.3816 1.86624 0.900551 1.30771 0.460532 0 0 0 0 0.381597 2.18266 -2.61542 2.15489 
3.64 0.477285 1.43185 1.86624 0.900551 1.31492 0.477285 0 0 0 0 0.431855 2.18266 -2.62983 2.15255 
3.66 0.49384 1.48152 1.86624 0.900551 1.3216 0.49384 0 0 0 0 0.48152 2.18266 -2.64319 2.14935 
3.68 0.510191 1.53057 1.86624 0.900551 1.32774 0.510191 0 0 0 0 0.530573 2.18266 -2.65549 2.14529 
3.7 0.526332 1.57899 1.86624 0.900551 1.33336 0.526332 0 0 0 0 0.578995 2.18266 -2.66671 2.14038 
3.72 0.542255 1.62677 1.86624 0.900551 1.33843 0.542255 0 0 0 0 0.626765 2.18266 -2.67687 2.13461 
3.74 0.557956 1.67387 1.86624 0.900551 1.34298 0.557956 0 0 0 0 0.673867 2.18266 -2.68595 2.128 
3.76 0.573427 1.72028 1.86624 0.900551 1.34698 0.573427 0 0 0 0 0.72028 2.18266 -2.69396 2.12053 
3.78 0.588662 1.76599 1.86624 0.900551 1.35044 0.588662 0 0 0 0 0.765987 2.18266 -2.70088 2.11222 
3.8 0.603656 1.81097 1.86624 0.900551 1.35336 0.603656 0 0 0 0 0.810969 2.18266 -2.70672 2.10307 
3.82 0.618403 1.85521 1.86624 0.900551 1.35574 0.618403 0 0 0 0 0.855209 2.18266 -2.71148 2.09308 
3.84 0.632897 1.89869 1.86624 0.900551 1.35758 0.632897 0 0 0 0 0.89869 2.18266 -2.71515 2.08226 
3.86 0.647131 1.94139 1.86624 0.900551 1.35887 0.647131 0 0 0 0 0.941394 2.18266 -2.71774 2.07061 
3.88 0.661102 1.98331 1.86624 0.900551 1.35962 0.661102 0 0 0 0 0.983305 2.18266 -2.71923 2.05813 
3.9 0.674802 2.02441 1.86624 0.900551 1.35982 0.674802 0 0 0 0 1.02441 2.18266 -2.71964 2.04484 
3.92 0.688227 2.06468 1.86624 0.900551 1.35948 0.688227 0 0 0 0 1.06468 2.18266 -2.71896 2.03074 
3.94 0.701372 2.10412 1.86624 0.900551 1.3586 0.701372 0 0 0 0 1.10412 2.18266 -2.7172 2.01583 
3.96 0.714231 2.14269 1.86624 0.900551 1.35717 0.714231 0 0 0 0 1.14269 2.18266 -2.71435 2.00012 
3.98 0.726799 2.1804 1.86624 0.900551 1.35521 0.726799 0 0 0 0 1.1804 2.18266 -2.71041 1.98361 
4 0.739071 2.21721 1.86624 0.900551 1.3527 0.739071 0 0 0 0 1.21721 2.18266 -2.70539 1.96632 
4.02 0.751043 2.25313 1.86624 0.900551 1.34965 0.751043 0 0 0 0 1.25313 2.18266 -2.6993 1.94825 
