t 1 2 3 4 5 6 jO0300 jO0600 jV0200 
2.05e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.06e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.07e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.08e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.09e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.1e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.11e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.12e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.13e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.14e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.15e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.16e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.17e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.18e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.19e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.2e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.21e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.22e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.23e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.24e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.25e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.26e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.27e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.28e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.29e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.3e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.31e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.32e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.33e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.34e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.35e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.36e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.37e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.38e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.39e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.4e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.41e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.42e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.43e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.44e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.45e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.46e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.47e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.48e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.49e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.5e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.51e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.52e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.53e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.54e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.55e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.56e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.57e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.58e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.59e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.6e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.61e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.62e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.63e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.64e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.65e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.66e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.67e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.68e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.69e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.7e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.71e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.72e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.73e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.74e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.75e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.76e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.77e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.78e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.79e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.8e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.81e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.82e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.83e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.84e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.85e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.86e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.87e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.88e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.89e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.9e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.91e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.92e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.93e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.94e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.95e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.96e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.97e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.98e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
2.99e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
3e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
3.01e-06 1.38778e-16 1 -1 -0.5 -0.5 -2 1.5 1.5 -2.5
