t 1 2 3 jL0200 4 5 6 jE0601 jVX jV0400 
2.52 0 -0.567606 1.69984 1.48112 1 0 -0.956438 0 -0.956438 -0.524683 
2.53 0 -0.570328 1.69161 1.47542 1 0 -0.948008 0 -0.948008 -0.52741 
2.54 0 -0.573024 1.6832 1.46969 1 0 -0.939365 0 -0.939365 -0.530323 
2.55 0 -0.575694 1.6746 1.46393 1 0 -0.930512 0 -0.930512 -0.533419 
2.56 0 -0.578338 1.66582 1.45815 1 5.55112e-017 -0.921454 0 -0.921454 -0.536694 
2.57 0 -0.580958 1.65685 1.45234 1 0 -0.912195 0 -0.912195 -0.540142 
2.58 0 -0.583555 1.64769 1.4465 1 0 -0.902744 0 -0.902744 -0.543758 
2.59 0 -0.586129 1.63833 1.44064 1 0 -0.893106 0 -0.893106 -0.547535 
2.6 0 -0.588682 1.62877 1.43475 1 0 -0.88329 0 -0.88329 -0.551463 
2.61 0 -0.591214 1.61902 1.42884 1 0 -0.873307 0 -0.873307 -0.555535 
2.62 0 -0.593726 1.60907 1.4229 1 0 -0.863166 0 -0.863166 -0.559739 
2.63 0 -0.596219 1.59891 1.41694 1 0 -0.852879 0 -0.852879 -0.564064 
2.64 0 -0.598694 1.58856 1.41096 1 0 -0.842458 0 -0.842458 -0.568497 
2.65 0 -0.601152 1.578 1.40494 1 0 -0.831918 0 -0.831918 -0.573026 
2.66 0 -0.603594 1.56725 1.39891 1 0 -0.821274 0 -0.821274 -0.577634 
2.67 0 -0.606021 1.55629 1.39285 1 0 -0.81054 0 -0.81054 -0.582308 
2.68 0 -0.608434 1.54514 1.38676 1 0 -0.799734 0 -0.799734 -0.58703 
2.69 0 -0.610833 1.53379 1.38066 1 0 -0.788872 0 -0.788872 -0.591784 
2.7 0 -0.613219 1.52224 1.37452 1 0 -0.777973 0 -0.777973 -0.59655 
2.71 0 -0.615594 1.5105 1.36837 1 0 -0.767055 0 -0.767055 -0.601311 
2.72 0 -0.617957 1.49858 1.36219 1 0 -0.756139 0 -0.756139 -0.606049 
2.73 0 -0.620311 1.48647 1.35598 1 0 -0.745242 0 -0.745242 -0.610742 
2.74 0 -0.622655 1.47418 1.34976 1 0 -0.734384 0 -0.734384 -0.615374 
2.75 0 -0.624991 1.46172 1.34351 1 0 -0.723585 0 -0.723585 -0.619923 
2.76 0 -0.627318 1.44909 1.33723 1 0 -0.712864 0 -0.712864 -0.624371 
2.77 0 -0.629639 1.43629 1.33094 1 0 -0.70224 0 -0.70224 -0.628698 
